ItemID, Domain Name, Traffic, Bids, Price, Estimated Value, Domain Age, Auction End Time, Sale Type
515001159,ypc.com,0,39,?1 107 196,More than ?922 509,29,2023/09/28 11:38 AM (PDT),Auction
515079947,sanctum.com,128,85,?710 332,?635 461,29,2023/09/29 09:05 AM (PDT),Auction
512441873,pafibalikpapan.org,15,28,?415 129,,,2023/09/26 12:23 PM (PDT),Auction
515799757,limousines.com,24,96,?374 539,?864 797,28,2023/10/04 10:55 AM (PDT),Auction
512609686,bhopalmunicipal.com,571,45,?335 793,?28 856,,2023/09/27 02:17 PM (PDT),Auction
515557190,0747.com,7,31,?298 893,?436 827,21,2023/10/02 10:32 AM (PDT),Auction
515385027,trip.org,89,68,?286 974,?664 170,27,2023/10/02 10:35 AM (PDT),Auction
514082478,freespire.org,43,25,?284 133,?21 033,18,2023/09/27 12:24 PM (PDT),Auction
515419971,kkkk.net,0,172,?261 993,?145 240,26,2023/10/01 10:06 AM (PDT),Auction
515554340,eshopping.com,0,43,?258 708,More than ?922 509,20,2023/10/02 12:14 PM (PDT),Auction
515325196,babyboxco.com,682,38,?237 638,?71 439,10,2023/09/30 11:45 AM (PDT),Auction
512837548,rpsdegreecollege.org,67,93,?228 782,Less than ?3 690,,2023/09/28 10:30 AM (PDT),Auction
513415296,bworld.com,41,45,?195 129,?405 203,9,2023/09/25 01:35 PM (PDT),Auction
513410547,wecert.com,2,28,?188 376,?184 170,13,2023/09/25 09:41 AM (PDT),Auction
514285364,epikone.com,104,35,?184 502,?94 059,19,2023/09/26 12:00 PM (PDT),Auction
509878960,longtablebangkok.com,0,21,?168 081,?15 904,,2023/09/25 02:15 PM (PDT),Auction
515765691,42999.com,7,74,?149 446,?250 554,18,2023/10/04 09:45 AM (PDT),Auction
515557129,gnarbox.com,289,26,?138 376,?45 055,9,2023/10/02 11:53 AM (PDT),Auction
512575859,sportsmarketing.com,0,52,?132 841,?486 568,,2023/09/30 10:27 AM (PDT),Auction
513428421,adwcleaner.com,119,11,?129 336,?91 144,11,2023/09/25 09:48 AM (PDT),Auction
514185570,socialmediabuttons.com,17,28,?127 306,?25 498,14,2023/09/26 01:00 PM (PDT),Auction
514350269,onice.com,50,35,?119 926,?590 111,21,2023/09/27 01:53 PM (PDT),Auction
514971493,motherdirt.com,0,26,?118 081,?217 417,9,2023/09/28 01:38 PM (PDT),Auction
515137338,38v.com,2,39,?117 823,?139 594,12,2023/09/29 10:56 AM (PDT),Auction
514283955,xqbet.com,2,52,?114 391,?62 620,9,2023/09/26 09:40 AM (PDT),Auction
515563285,myfabulesslife.com,0,25,?112 583,?28 303,11,2023/10/02 01:50 PM (PDT),Auction
514068271,dms.org,115,44,?96 568,?488 339,27,2023/09/27 12:47 PM (PDT),Auction
512325685,czdfls.com,113,39,?94 096,,,2023/09/25 01:49 PM (PDT),Auction
513351424,91sang.com,0,52,?94 096,?38 192,4,2023/09/25 02:11 PM (PDT),Auction
513390592,mmbbss.com,15,25,?94 096,?27 897,8,2023/09/25 02:22 PM (PDT),Auction
515375588,ssatripura.com,0,29,?94 096,,,2023/09/28 09:06 AM (PDT),Auction
514925464,achenet.org,0,86,?79 151,?20 332,27,2023/09/29 12:59 PM (PDT),Auction
